Dte;Barris;TOTAL;Homes;Dones
1;1. el Raval;47129;25750;21379
1;2. el Barri Gòtic;15614;8110;7504
1;3. la Barceloneta;15021;7499;7522
1;4. Sant Pere, Santa Caterina i la Ribera;22306;11078;11228
2;5. el Fort Pienc;31653;14910;16743
2;6. la Sagrada Família;51322;23477;27845
2;7. la Dreta de l'Eixample;43644;20190;23454
2;8. l'Antiga Esquerra de l'Eixample;41854;19364;22490
2;9. la Nova Esquerra de l'Eixample;57648;26765;30883
2;10. Sant Antoni;38184;18060;20124
3;11. el Poble Sec - Parc Montjuïc;40055;19748;20307
3;12. la Marina del Prat Vermell - Zona Franca;1143;579;564
3;13. la Marina de Port;30385;14660;15725
3;14. la Font de la Guatlla;10302;4859;5443
3;15. Hostafrancs;15889;7613;8276
3;16. la Bordeta;18512;8707;9805
3;17. Sants - Badal;23906;11155;12751
3;18. Sants;40785;19195;21590
4;19. les Corts;45932;21386;24546
4;20. la Maternitat i Sant Ramon;23848;11133;12715
4;21. Pedralbes;11862;5556;6306
5;22. Vallvidrera, el Tibidabo i les Planes;4632;2277;2355
5;23. Sarrià;24799;11545;13254
5;24. les Tres Torres;16473;7642;8831
5;25. Sant Gervasi - la Bonanova;25665;11803;13862
5;26. Sant Gervasi - Galvany;47089;21229;25860
5;27. el Putxet i el Farró;29368;13342;16026
6;28. Vallcarca i els Penitents;15591;7257;8334
6;29. el Coll;7391;3463;3928
6;30. la Salut;13118;6033;7085
6;31. la Vila de Gràcia;50584;23020;27564
6;32. el Camp d'en Grassot i Gràcia Nova;34234;15628;18606
7;33. el Baix Guinardó;25547;11803;13744
7;34. Can Baró;8965;4233;4732
7;35. el Guinardó;36136;16804;19332
7;36. la Font d'en Fargues;9400;4470;4930
7;37. el Carmel;31355;14999;16356
7;38. la Teixonera;11277;5468;5809
7;39. Sant Genís dels Agudells;6725;3127;3598
7;40. Montbau;5053;2253;2800
7;41. la Vall d'Hebron;5686;2692;2994
7;42. la Clota;583;306;277
7;43. Horta;26541;12491;14050
8;44. Vilapicina i la Torre Llobeta;25508;11739;13769
8;45. Porta;24519;11454;13065
8;46. el Turó de la Peira;15364;7125;8239
8;47. Can Peguera;2258;1065;1193
8;48. la Guineueta;15043;6999;8044
8;49. Canyelles;6923;3315;3608
8;50. les Roquetes;15398;7434;7964
8;51. Verdun;12260;5684;6576
8;52. la Prosperitat;26167;12385;13782
8;53. la Trinitat Nova;7257;3459;3798
8;54. Torre Baró;2791;1393;1398
8;55. Ciutat Meridiana;10041;4953;5088
8;56. Vallbona;1352;656;696
9;57. la Trinitat Vella;10032;5197;4835
9;58. Baró de Viver;2507;1226;1281
9;59. el Bon Pastor;12589;6292;6297
9;60. Sant Andreu;56683;26726;29957
9;61. la Sagrera;28796;13464;15332
9;62. el Congrés i els Indians;14044;6391;7653
9;63. Navas;22080;10302;11778
10;64. el Camp de l'Arpa del Clot;38104;17828;20276
10;65. el Clot;26898;12898;14000
10;66. el Parc i la Llacuna del Poblenou;14838;7164;7674
10;67. la Vila Olímpica del Poblenou;9335;4576;4759
10;68. el Poblenou;33586;16364;17222
10;69. Diagonal Mar i el Front Marítim del Poblenou;13397;6562;6835
10;70. el Besòs i el Maresme;22746;11499;11247
10;71. Provençals del Poblenou;20369;9832;10537
10;72. Sant Martí de Provençals;26010;12236;13774
10;73. la Verneda i la Pau;28645;13590;15055
